coupling_dist,coupling_loss,log_decisiveness,log_accuracy,log_robustness,run_time
1e-06,1e-06,1.4804665738891245e-16,2.12025760847837e-58,2.422118923674278e-243,7.81
1e-06,0.025,4.8415953570151985e-16,1.7588040109955938e-55,3.5073024658930574e-214,7.39
1e-06,0.05,2.59577624761546e-15,8.98206928923483e-53,4.854973089008325e-193,7.32
1e-06,0.075,1.0065325802466283e-14,3.8078002453676853e-50,2.7978027451446516e-201,7.27
1e-06,0.1,5.0932237887074465e-14,8.608791854650103e-48,2.165103187009255e-190,7.33
1e-06,0.125,1.1359515905757632e-13,6.7610807758273564e-46,5.3421557018196285e-165,7.39
1e-06,0.15,6.820859664994033e-13,5.949480309564181e-44,3.386318317232e-156,7.49
1e-06,0.175,,,,7.04
1e-06,0.2,,,,7.08
1e-06,0.225,,,,7.11
1e-06,0.25,,,,7.11
0.01,1e-06,2.1818938204270256e-17,1.1128370429858237e-59,1.2770425768155613e-208,7.25
0.01,0.025,1.5245046498818065e-16,4.7870102549209824e-57,1.2867172582487737e-249,7.20
0.01,0.05,2.165771945579668e-14,1.9390270115271291e-54,5.545285249559546e-196,7.19
0.01,0.075,1.5130405814899903e-15,6.1324712964139784e-52,9.313060861924381e-198,7.23
0.01,0.1,6.089244176881432e-15,1.2086320537668405e-49,3.599872748228923e-220,7.37
0.01,0.125,4.7103659625788216e-14,3.6060845217249215e-47,2.6450683608431536e-154,7.34
0.01,0.15,1.1253493582881628e-12,1.1521091886202718e-45,2.2125867542906084e-133,7.32
0.01,0.175,2.1789043943403253e-12,1.1586477035906262e-43,2.0729348238040145e-143,7.40
0.01,0.2,2.1090074264412916e-13,8.813157000171156e-42,2.4592739695958802e-118,7.51
0.01,0.225,7.328708041081458e-13,8.101027726695611e-40,1.7406315724650057e-138,7.45
0.01,0.25,,,,7.36
0.05,1e-06,8.916060254967187e-18,1.8883451317924e-61,2.977640745216513e-245,8.03
0.05,0.025,1.3309058820266328e-17,3.196511330152758e-59,1.1161415060309544e-210,8.13
0.05,0.05,5.553845096478979e-17,8.866453212094921e-57,4.2252061398760925e-187,8.11
0.05,0.075,2.0456596083401496e-16,1.7907870136707314e-54,7.798938099102888e-170,8.32
0.05,0.1,1.0508448705001112e-15,2.987493909077762e-52,2.0457154890127095e-144,8.27
0.05,0.125,,,,7.93
0.05,0.15,,,,7.91
0.05,0.175,,,,7.85
0.05,0.2,1.112358729123523e-13,4.242720596412749e-44,1.437384640849432e-133,7.93
0.05,0.225,,,,7.87
0.05,0.25,,,,8.14
0.1,1e-06,3.5986749797969554e-18,5.120618665356275e-63,2.792384413307337e-237,8.26
0.1,0.025,4.7010938093084125e-18,4.39786371743732e-61,1.9373522816448938e-199,8.19
0.1,0.05,1.8864038958521692e-17,6.29758465294009e-59,1.7245862879784428e-174,8.07
0.1,0.075,5.137403146187822e-17,1.1675373648522928e-56,1.5980555826686303e-157,8.09
0.1,0.1,,,,7.79
0.1,0.125,7.745921883330041e-16,2.0955159270703357e-52,6.305241617529604e-136,7.41
0.1,0.15,5.191365485358601e-15,3.177182245791271e-50,3.014723221818976e-128,7.48
0.1,0.175,1.2285948638626725e-14,2.509426390949423e-48,3.0562095899610942e-121,7.35
0.1,0.2,3.7668400586757224e-14,1.3121487020735818e-46,5.173258581300265e-126,7.28
0.1,0.225,1.6987630174856024e-13,6.910281981229713e-45,2.1865898491388138e-111,7.20
0.1,0.25,7.722023133233503e-13,2.5323307686066098e-43,5.628567097053464e-108,7.19
0.15,1e-06,6.873310056781127e-19,2.6253088012180384e-64,6.59672412095226e-190,7.38
0.15,0.025,6.809356297223092e-19,8.797384499823187e-63,3.683509358035268e-181,7.36
0.15,0.05,2.1002940563421674e-18,1.1134726125224821e-60,8.525118345238451e-168,7.74
0.15,0.075,5.951116072262004e-18,1.662017758157612e-58,2.3121844621712326e-149,8.07
0.15,0.1,,,,8.02
0.15,0.125,3.241182945614451e-16,4.2671332266202144e-54,8.330582146609572e-151,8.26
0.15,0.15,1.1487976929353704e-15,3.1884064424278202e-52,2.4818776127380392e-138,9.32
0.15,0.175,4.8848869013403616e-15,3.219115811328663e-50,4.973511321601514e-126,9.46
0.15,0.2,2.253618351668067e-14,2.4576782287521215e-48,4.65908648767023e-116,9.66
0.15,0.225,,,,9.30
0.15,0.25,,,,9.33
