coupling_dist,coupling_loss,log_decisiveness,log_accuracy,log_robustness,run_time
1e-06,1e-06,1.3571775049820215e-10,4.706801875347273e-28,3.4641242298035494e-81,7.53
1e-06,0.025,2.9431338805870884e-10,7.790049810448162e-27,7.145934551435497e-70,7.68
1e-06,0.05,8.470084289013033e-10,1.3416744757424735e-25,3.0757808140176863e-75,7.74
1e-06,0.075,2.287358399042029e-09,3.2469340412794846e-24,1.0858086050729682e-69,7.80
1e-06,0.1,5.7101325456084795e-09,5.401449217132843e-23,4.031819636111469e-61,7.72
1e-06,0.125,1.0739190947802897e-08,8.172196747747861e-22,4.1468971364845724e-58,7.62
1e-06,0.15,,,,7.20
1e-06,0.175,,,,7.05
1e-06,0.2,,,,6.91
1e-06,0.225,,,,6.94
1e-06,0.25,,,,6.87
0.01,1e-06,3.4913816401994346e-12,2.178013651753607e-31,2.465114627133683e-76,7.05
0.01,0.025,9.323987552654635e-12,5.5804595052162945e-31,2.737631679138092e-71,7.00
0.01,0.05,3.355315516690928e-11,1.4866286906118786e-29,1.2194646966977935e-64,7.16
0.01,0.075,6.916125759047808e-11,4.608983935906227e-28,3.883128339839561e-64,7.09
0.01,0.1,2.435079844143139e-10,1.4513010289958666e-26,1.4958275398933564e-56,7.01
0.01,0.125,3.490708764578371e-10,3.7321784870275467e-25,4.200206723338353e-58,6.95
0.01,0.15,1.6259878139955188e-09,7.586280648826003e-24,5.843762860011871e-58,6.98
0.01,0.175,4.203905342640064e-09,1.4085926179447214e-22,2.027896312183561e-51,7.21
0.01,0.2,,,,7.32
0.01,0.225,,,,7.23
0.01,0.25,,,,7.11
0.05,1e-06,2.2967316846146455e-13,5.5993233914975e-35,5.915030868860455e-89,7.22
0.05,0.025,1.2477764715016999e-12,7.95302522182195e-35,1.9104805902311046e-105,7.26
0.05,0.05,2.997568123481422e-12,7.147869859140128e-33,1.362506431654727e-91,7.24
0.05,0.075,1.7831225110820396e-11,2.1818079345914988e-30,1.093874396202587e-77,7.39
0.05,0.1,3.6788029391990536e-11,9.956922682136146e-28,4.284049959498659e-72,7.40
0.05,0.125,1.5962235539917928e-10,2.543044477572701e-26,1.9991895928016394e-71,7.27
0.05,0.15,8.340039915874099e-10,5.946882110253388e-25,3.4150019322646206e-63,7.39
0.05,0.175,1.8560047540561642e-09,9.116114272920085e-24,2.0220678136321935e-62,7.35
0.05,0.2,,,,7.37
0.05,0.225,,,,7.47
0.05,0.25,,,,7.42
0.1,1e-06,1.0094500515732652e-13,1.5671303383251637e-37,9.147191058116725e-134,7.28
0.1,0.025,3.5306848397858547e-13,9.122782169884766e-38,3.843282907414745e-155,7.53
0.1,0.05,9.22409659279182e-13,3.760376672272599e-35,3.303284417398953e-137,7.49
0.1,0.075,1.3150266772522619e-11,7.774717524879315e-32,3.483472210720879e-118,7.40
0.1,0.1,5.483178311791822e-11,3.614301888792765e-30,9.925834439822182e-107,7.39
0.1,0.125,1.0468084788024792e-10,9.695038958395604e-29,3.670934634922454e-105,7.56
0.1,0.15,2.2258779521171262e-10,2.1339050431909448e-27,9.020761353930307e-97,7.18
0.1,0.175,4.3106749815163346e-10,3.875145409214324e-26,1.2118419191380339e-101,7.19
0.1,0.2,,,,7.22
0.1,0.225,,,,7.36
0.1,0.25,,,,7.38
0.15,1e-06,4.749933143830029e-14,5.8878081894258115e-40,1.7046505752422655e-161,7.64
0.15,0.025,8.06691180023659e-14,2.0900545054098376e-40,1.2757403239156705e-155,7.60
0.15,0.05,2.5021471733106354e-13,3.550818654430681e-37,5.837955311619759e-155,7.61
0.15,0.075,4.833825338242428e-12,3.197946408377898e-34,2.263426925554347e-165,7.65
0.15,0.1,1.0223495453456522e-11,1.1678947900172698e-32,3.4063448378144962e-158,7.82
0.15,0.125,3.3993788095971246e-11,3.9158553091041797e-31,2.518368877534831e-150,8.10
0.15,0.15,1.0262833135081676e-10,1.104627155773197e-29,2.1097576926294328e-139,8.93
0.15,0.175,2.0057459159876485e-10,2.5294487955363125e-28,2.133304847077199e-127,8.98
0.15,0.2,4.437562928652973e-10,4.928061904446376e-27,1.1227566697866985e-115,8.94
0.15,0.225,,,,8.94
0.15,0.25,,,,9.02
