epoch,neg_elbo,recon_loss,kl_div,elbo_decisiveness,elbo_accuracy,elbo_robustness,recon_decisiveness,recon_accuracy,recon_robustness,kl_decisiveness,kl_accuracy,kl_robustness
1.0,238.9037322998047,234.63922119140625,4.264517784118652,1.0272683476543441e-51,1.7596442415836947e-104,1.7823347136580327e-197,3.809051934635578e-49,1.2516458747057188e-102,4.323461422387719e-195,0.015999966716397678,0.014058642920845415,0.012267152655159052
2.0,245.95916748046875,240.439697265625,5.519465446472168,2.081973190357644e-46,1.5180849997428037e-107,1.978058488813762e-211,1.651406050581963e-42,3.787645259223911e-105,1.4619308623152078e-208,0.004852983914847799,0.004007991498268912,0.003166273517310333
3.0,250.32395935058594,244.3342742919922,5.989689826965332,2.7383836273701603e-46,1.930561781466768e-109,2.127239347293383e-227,2.5291027708446565e-42,7.708555602774056e-107,1.1852609034970493e-224,0.0031237693368298632,0.0025044403659383475,0.0019008972811638968
4.0,257.26556396484375,251.1920928955078,6.07346248626709,3.069650971012032e-45,1.8663410391942097e-112,7.010645538084025e-245,1.1550014573206804e-40,8.103300300427762e-110,7.49517571472634e-242,0.002932387016167589,0.0023031863191540626,0.0016743739654474013
5.0,251.39752197265625,244.77024841308594,6.627279758453369,1.1233415854470442e-46,6.59843658223588e-110,1.8867192170280275e-229,8.749109412650179e-42,4.984620541119327e-107,4.4321223138137605e-226,0.0017404897911821636,0.0013237590560412277,0.0009619849612788376
6.0,253.89065551757812,247.13604736328125,6.754605293273926,1.8418434234505297e-45,5.453683756028765e-111,1.0106750139411408e-233,7.835693432771644e-41,4.67926747545206e-108,3.0156658401373056e-230,0.0015526408400684374,0.0011654994685897666,0.0008777268992375998
7.0,257.5422058105469,250.81500244140625,6.727209568023682,2.530071495113803e-45,1.4153005960718344e-112,3.294741181283608e-238,1.5187860406012834e-40,1.1815135830504406e-109,2.986058219277825e-235,0.0016365550317976902,0.0011978707789527068,0.0008613887037079548
8.0,257.9389953613281,250.7777557373047,7.161250114440918,5.428635058149778e-48,9.517090524451033e-113,2.201879361752056e-260,3.5681300585050925e-43,1.226296501874888e-109,7.933088860702176e-257,0.0010963092378235618,0.0007760839658190543,0.0005416251197672182
9.0,258.98870849609375,252.1583251953125,6.830389022827148,2.231301566189843e-46,3.331481694319464e-113,1.0193241029509528e-258,5.796603990582143e-42,3.0834577055379084e-110,3.31081500791967e-255,0.0015368756344365613,0.001080436967997346,0.0007960348246498244
10.0,259.3877868652344,252.6096954345703,6.778095245361328,7.040521005814928e-47,2.235241321818593e-113,2.5444350744961476e-264,1.865361998831229e-42,1.9634254020216493e-110,5.227862392738659e-261,0.0015507831774687142,0.001138439647117258,0.0008472070950859106
