epoch,neg_elbo,recon_loss,kl_div,elbo_decisiveness,elbo_accuracy,elbo_robustness,recon_decisiveness,recon_accuracy,recon_robustness,kl_decisiveness,kl_accuracy,kl_robustness
1.0,202.91403198242188,197.57986450195312,5.334163188934326,3.2610795210081274e-39,7.508539959522577e-89,1.026050924043659e-161,5.264361244776532e-36,1.5565143996357374e-86,2.2196217135180206e-159,0.007225320729845254,0.004823945066797802,0.001815472332333204
2.0,199.2315216064453,193.03900146484375,6.192521095275879,1.6911690081620054e-29,2.9843762842693296e-87,1.6768539343721767e-202,1.9602977700042308e-25,1.4595915145324455e-84,2.0283160077058417e-200,0.0035169241167143385,0.002044665411216317,0.0007659705536794621
3.0,198.5631561279297,191.35076904296875,7.212392330169678,5.534601903802565e-29,5.822532965300119e-87,1.57357361340907e-207,9.265780163523122e-25,7.896128726474129e-84,2.9068088733153703e-205,0.0013907730185712633,0.0007373908363193703,0.0002511781427467679
4.0,198.89967346191406,191.00550842285156,7.894159317016602,4.760626009271827e-28,4.158788673767443e-87,8.632947855937975e-217,1.1176315068890621e-23,1.115210912927909e-83,2.040642735324951e-214,0.0007737251185550545,0.00037291499083781643,0.0001126010981814258
5.0,199.43289184570312,191.7772674560547,7.6556267738342285,2.470056350219656e-28,2.4400128021657146e-87,1.5801527390469501e-205,5.0776949310178005e-24,5.154519334078648e-84,3.6029044837987935e-203,0.0008630559285363354,0.0004733734891697474,0.0002121388199717499
6.0,198.56521606445312,190.8880615234375,7.677151679992676,1.958016707145168e-28,5.810695702463302e-87,4.678977623865373e-199,2.6946899475244182e-24,1.254217869685162e-83,4.556017522962675e-196,0.0008338646714588888,0.0004632923707203936,0.0002209977947998923
7.0,198.68836975097656,190.72853088378906,7.959843158721924,6.29921984957729e-29,5.137177531778417e-87,4.540724614412864e-199,7.416890217445664e-25,1.4710934918271562e-83,1.6690873442054638e-196,0.0006061933138608662,0.00034920809318501374,0.00017702960356060407
8.0,198.4977569580078,190.04400634765625,8.453744888305664,2.7368674616190274e-28,6.216176924761077e-87,6.4051953199824645e-208,1.2507524489315246e-23,2.9170133869187696e-83,1.4113093838494746e-204,0.0004060778389596519,0.00021310073353235931,9.587752716892577e-05
9.0,197.65162658691406,189.27392578125,8.377702713012695,1.3450749029153574e-28,1.4487206208754436e-86,1.8725099848437556e-210,4.5258991772992e-24,6.300496402729032e-83,3.554570922828743e-207,0.00042339919484103206,0.00022993753638966258,0.00011562944966826558
10.0,198.65296936035156,190.1737060546875,8.479259490966797,7.065521624542983e-28,5.322523016506968e-87,4.119137566808885e-205,2.5404946964862094e-23,2.5622006241157684e-83,7.168923607081172e-202,0.0003877915296633603,0.00020773248458417725,9.5496426650447e-05
