epoch,neg_elbo,recon_loss,kl_div,elbo_decisiveness,elbo_accuracy,elbo_robustness,recon_decisiveness,recon_accuracy,recon_robustness,kl_decisiveness,kl_accuracy,kl_robustness,kldiv_accuracy,kldiv_decisiveness,kldiv_robustness
1.0,200.07156372070312,194.4655303955078,5.606025695800781,1.8161840462957345e-34,1.2883220537595085e-87,8.908944957975735e-165,7.035255032796074e-31,3.5050201161726195e-85,1.995579468684262e-161,,,,0.00367564810203233,0.005744295522225091,0.001871904450798447
2.0,194.8681182861328,188.52130126953125,6.346822738647461,5.028502245766153e-30,2.3434277058815283e-85,2.653859202086875e-165,1.5881223954056678e-25,1.3373395722812632e-82,1.1102932849718248e-162,,,,0.001752305663014248,0.0029658299349267937,0.0007342727816175919
3.0,193.26991271972656,186.17620849609375,7.093706130981445,4.486666291498382e-28,1.158626830321418e-84,1.4579648072395554e-175,1.384239671439811e-23,1.3954081095675675e-81,5.13745783952446e-173,,,,0.0008303139578861102,0.001654203347695733,0.0002001888972433801
4.0,194.0067596435547,186.6529541015625,7.3538126945495605,1.4586732735672516e-27,5.545455026358979e-85,5.219951503000316e-182,1.3881675064944827e-23,8.662780630184634e-82,1.5248683013646716e-179,,,,0.0006401472302134013,0.0012957005577024232,0.0002318190781749862
5.0,194.20469665527344,186.45578002929688,7.7489142417907715,3.5456716951474083e-28,4.5494934497846376e-85,1.3095743701513378e-182,4.370292330588775e-24,1.0550511472277524e-81,4.645713366412725e-180,,,,0.00043121070118154275,0.0008494543567568121,0.00017300624771953002
6.0,194.37564086914062,186.3470458984375,8.02859878540039,1.2525971656417864e-28,3.83465931435306e-85,2.0570053753018142e-185,3.7414448741419604e-24,1.176258992051685e-81,9.001715258240036e-183,,,,0.0003260046758634697,0.0006601260931330705,0.00014382080899001518
7.0,194.15078735351562,185.91001892089844,8.240767478942871,3.3897232825422755e-29,4.801534644475229e-85,1.1440811882705055e-182,2.0680468322671447e-24,1.8209570505539172e-81,5.138542073510597e-180,,,,0.00026368192720496855,0.0005831328431202879,8.941957177922684e-05
8.0,195.2781219482422,186.9282989501953,8.349828720092773,1.8872037294894096e-28,1.5552090946080987e-85,7.832425539241934e-181,1.376869538995742e-23,6.577695415207734e-82,6.516602175140224e-177,,,,0.00023643677556312842,0.0005164464449830911,9.103631630765443e-05
9.0,194.91607666015625,186.57582092285156,8.340254783630371,3.827307161197976e-28,2.2337097296576543e-85,1.1576786101436902e-183,1.1776983808409517e-23,9.357365672461269e-82,2.2726427414033666e-180,,,,0.0002387113860722,0.0004896386109999632,0.00010527685743231322
10.0,193.8131103515625,185.22889709472656,8.584208488464355,6.308494344082695e-28,6.730355605726381e-85,1.3949055555915843e-186,2.2435050352989997e-23,3.598427975373547e-81,2.0105420322189995e-183,,,,0.00018703599604568145,0.0003946920078195739,7.696145672351546e-05
