epoch,neg_elbo,recon_loss,kl_div,elbo_decisiveness,elbo_accuracy,elbo_robustness,recon_decisiveness,recon_accuracy,recon_robustness,kl_decisiveness,kl_accuracy,kl_robustness
1.0,438.67962646484375,422.83856201171875,15.841060638427734,9.51935921927008e-129,0.0,0.0,1.596098829911824e-125,0.0,0.0,0.0006497031933058871,1.3192127275301228e-07,1.3160470811852376e-20
2.0,356.022705078125,355.10260009765625,0.9201144576072693,1.340862159552377e-77,0.0,0.0,1.6775600741554126e-77,0.0,0.0,0.42780331658162996,0.3984734055055298,0.37546177056857716
3.0,311.1875305175781,311.0177001953125,0.1698155254125595,1.0329472312830359e-56,7.128127242780365e-136,2.279448708501433e-271,1.2251362913918607e-56,8.44744533718743e-136,2.7972292087203266e-271,0.8438571494772223,0.8438204638508733,0.8437958916037178
4.0,273.6365051269531,272.6899108886719,0.9465885758399963,1.9155984410467307e-48,1.449372866993429e-119,1.7206995105192337e-262,4.2633058064054237e-48,3.73489444976815e-119,5.141080840804852e-262,0.389077276510753,0.3880626043082412,0.38737227842887356
5.0,252.74098205566406,245.72999572753906,7.010987281799316,6.550236208719774e-72,1.721793463862319e-110,1.8126626084447648e-224,5.207970590967721e-69,1.9090371451933402e-107,3.9117361038652244e-221,0.000967669290683752,0.0009019172142341573,0.0008579780298208242
6.0,248.66575622558594,246.03652954101562,2.6292243003845215,2.221561455003214e-61,1.0135250196129716e-108,1.0365817628972229e-226,3.580433041553656e-60,1.4050511095114805e-107,9.727398655332263e-226,0.07398469584199022,0.07213438804837244,0.07092722579439928
7.0,246.051513671875,243.74717712402344,2.3043324947357178,4.988269183968889e-64,1.3841731994746912e-107,4.0413372571072435e-223,7.35161046765007e-63,1.3865941405628144e-106,2.1650302592689386e-222,0.10494495495977704,0.09982540377048418,0.09650897508008396
8.0,246.68104553222656,244.16705322265625,2.513991355895996,2.8097489857162136e-64,7.375501531559593e-108,9.455651203485475e-217,7.39707124403303e-63,9.111800745912236e-107,4.855702369337237e-216,0.09006236775749697,0.08094449974521672,0.07483630891324239
9.0,244.3035888671875,241.34262084960938,2.960972785949707,1.3668809560742912e-61,7.948658094032073e-107,1.0883904783698643e-227,1.2216317665422386e-59,1.535422521973541e-105,1.3704948859753397e-226,0.06096991355931212,0.05176853914983167,0.04481255348474339
10.0,243.38145446777344,240.1737823486328,3.207667589187622,1.681561711053628e-58,1.9988685747321628e-106,4.3898784014781956e-200,2.8759634313056256e-56,4.941475140100723e-105,2.417729165360268e-198,0.04784533455213322,0.04045084753156181,0.03424124204292559
