epoch,neg_elbo,recon_loss,kl_div,elbo_decisiveness,elbo_accuracy,elbo_robustness,recon_decisiveness,recon_accuracy,recon_robustness,kl_decisiveness,kl_accuracy,kl_robustness
1.0,449.1363830566406,430.7869567871094,18.349422454833984,2.0366309355880775e-128,0.0,0.0,1.1635116039008192e-125,0.0,0.0,0.00035774788572411043,1.0738572346720111e-08,2.3479224889079914e-23
2.0,358.3349304199219,357.1980895996094,1.1368356943130493,1.042662864964574e-75,0.0,0.0,1.3666581515372792e-75,0.0,0.0,0.35139825536712965,0.32083260154078314,0.29753857966853287
3.0,307.4662780761719,307.2720031738281,0.1942678540945053,7.302264194232538e-55,2.945093266851288e-134,1.0561926191448825e-271,8.747785271089215e-55,3.57658464153399e-134,1.3403930363456155e-271,0.8235283243632981,0.8234373185666085,0.8233763784537673
4.0,260.5557861328125,259.24053955078125,1.3152350187301636,3.250283564759675e-45,6.951201117073442e-114,2.992950504624619e-250,9.620693350171886e-45,2.589757594485868e-113,1.3136313757036549e-249,0.26972737656032086,0.268411264894984,0.26752745292735425
5.0,223.3566131591797,214.789794921875,8.566812515258789,2.4620854820219023e-71,9.941438491070397e-98,5.807706463166608e-177,9.62563005413316e-68,5.223587081711448e-94,2.507743791473997e-173,0.00020774042515755214,0.00019031823028043047,0.00017985253675760726
6.0,214.80076599121094,211.83865356445312,2.9621081352233887,2.7678460455939953e-58,5.166776729717525e-94,4.576325019256252e-189,6.778274336103333e-57,9.991874794759176e-93,4.574169123087656e-188,0.05438926435147734,0.05170978255679839,0.050010473086977494
7.0,212.08302307128906,209.17898559570312,2.9040441513061523,2.0299517012930694e-61,7.82545627651344e-93,8.426816463475271e-180,6.777683263018381e-60,1.4279733096614405e-91,6.412870697359595e-179,0.06238730620523352,0.054801138253548445,0.05007910834015084
8.0,209.60958862304688,206.42962646484375,3.1799676418304443,2.3279835263795173e-58,9.283481522575676e-92,5.158815401200566e-204,2.079520977460878e-56,2.232303564453863e-90,3.997068524276921e-203,0.05370002883343425,0.04158700308686258,0.03340305770572746
9.0,206.63824462890625,202.68170166015625,3.956543445587158,1.9431458420156078e-55,1.8119941721463803e-90,5.188780955929409e-207,9.94057484619101e-53,9.472437489669739e-89,2.2771980572491675e-205,0.028521662824270187,0.01912912251067858,0.01170231764242368
10.0,202.52101135253906,198.0682373046875,4.4527716636657715,4.388396971271292e-51,1.1123590050096135e-88,3.373600440923554e-166,1.688104669087942e-47,9.551221199950249e-87,2.5086792035417876e-163,0.0202714613220162,0.011646249015941596,0.0049108438218512015
11.0,199.78768920898438,195.00411987304688,4.783567905426025,1.0437898401760238e-47,1.7112236824300196e-87,7.707728038670682e-145,5.375030033104803e-44,2.0454272896364014e-85,2.640306201894895e-142,0.016430644946381093,0.008366093926194817,0.002745166166427509
12.0,196.98497009277344,191.982177734375,5.00278902053833,1.0610968543746194e-43,2.8217709179303292e-86,1.8952175781750017e-144,2.6428613939014283e-40,4.199576337979774e-84,1.8647936962376496e-141,0.011703327315466604,0.00671917996206191,0.0025456334079805736
13.0,194.02294921875,188.78770446777344,5.235249042510986,4.4083562015585675e-41,5.456394832850113e-85,3.913506750950401e-142,8.061887258483384e-38,1.0245792321543372e-82,3.2137013011905695e-139,0.008895741178430595,0.005325498176824447,0.002057604235248906
14.0,190.86117553710938,185.3448486328125,5.51632833480835,5.986823992488818e-39,1.2883782938965611e-83,1.1889173611899915e-143,1.0202358341439693e-35,3.204456187747702e-81,4.628262366959616e-141,0.006536052909495344,0.004020583270330537,0.0014608497970847165
15.0,188.14208984375,182.3503875732422,5.791696071624756,3.766398961661316e-36,1.9540347553356534e-82,1.2774610882431003e-141,8.957281549897603e-33,6.400799079179681e-80,8.744774590174247e-139,0.004881861989398586,0.0030527981446749237,0.0010798397132939029
16.0,186.05328369140625,180.03770446777344,6.015584945678711,1.6382188656392988e-34,1.5779119778685042e-81,4.7323261020043406e-144,7.198478168355924e-31,6.465737588625552e-79,3.780513920330287e-141,0.003877295400055229,0.0024404206886532906,0.0008503714036625651
17.0,184.066162109375,177.9491424560547,6.1170196533203125,7.099748378339414e-31,1.1510099707106303e-80,6.946145691363371e-144,9.949307255354338e-27,5.219957085648483e-78,3.91631229050096e-141,0.003660651531221762,0.0022050180716526365,0.0008276539475130326
18.0,182.15951538085938,175.944580078125,6.214931964874268,6.889019372743802e-31,7.747022186911258e-80,3.462274802179055e-145,1.6309860505650295e-26,3.874765614741214e-77,2.4400759758546947e-142,0.0034194796903597407,0.0019993524659758497,0.000619933445049865
19.0,180.49371337890625,174.12510681152344,6.368607044219971,7.303797504010419e-29,4.098094550258313e-79,1.072392726500837e-150,2.651411883830847e-24,2.3901909934998124e-76,7.752438919429833e-148,0.0030929771903125494,0.0017145468966301065,0.000480535034340849
20.0,178.87530517578125,172.41506958007812,6.460235595703125,5.79038133153274e-29,2.0674747351489133e-78,1.3865009869669803e-146,3.0163463634389054e-24,1.3215534752797133e-75,1.0513233146581698e-143,0.002879128233296181,0.0015644276026827698,0.000432438040097658
21.0,177.47833251953125,170.90447998046875,6.573856830596924,4.131971404854741e-28,8.358688406830956e-78,2.174288516452412e-146,2.0729213596303383e-23,5.985879915290497e-75,1.8196922614339967e-143,0.0026416737537389586,0.001396400951091469,0.00036323743431802537
22.0,176.2602081298828,169.52330017089844,6.736905574798584,1.1963102449178431e-27,2.8259195079175358e-77,1.479681002026135e-149,6.904521719522639e-23,2.3821032016442308e-74,1.399192582188912e-146,0.0023309905269926676,0.0011863127953343922,0.00027697718218317927
23.0,175.03533935546875,168.19277954101562,6.842562675476074,3.624993453176878e-26,9.618844193592303e-77,2.060980212997228e-152,3.0917444571279438e-21,9.011771326801674e-74,9.070494034990136e-150,0.002165243316773892,0.0010673644331148488,0.0002430072300088625
24.0,174.0637969970703,167.14700317382812,6.9168009757995605,1.4768871489168915e-26,2.541247213986707e-76,4.15918802563888e-156,8.629323446354707e-22,2.5643380339630073e-73,1.828421205422299e-153,0.002080372213929948,0.0009909954071302379,0.00019973390869368161
25.0,172.9862823486328,165.98434448242188,7.00193452835083,1.4823456950428394e-26,7.464679884402344e-76,5.230684573569928e-156,8.015802780956831e-22,8.201866688536828e-73,2.1391622003405368e-153,0.0019062869425208126,0.0009101196310390125,0.00018849636153001406
26.0,172.309814453125,165.1726531982422,7.137160778045654,5.1715605800470875e-25,1.4682374428663105e-75,9.721222600490055e-160,6.709743246644149e-20,1.846826396302978e-72,4.6573870604954904e-157,0.0017392795971935453,0.0007950056625817453,0.00014168971012192542
27.0,171.58277893066406,164.3896942138672,7.193081378936768,3.0084130173648884e-25,3.037767177712216e-75,5.386935923443278e-160,3.0422552590491415e-20,4.0408231276773883e-72,2.6657124410010443e-157,0.0016363874645220072,0.0007517693998792468,0.00012339374968000863
28.0,170.9562225341797,163.77398681640625,7.182229518890381,1.0565752522439756e-24,5.684029007904516e-75,1.7913025488002637e-162,8.735260061431677e-20,7.479267274762898e-72,8.081040206990956e-160,0.0016404863971063222,0.0007599713714047882,0.00013841667374887547
29.0,170.3224639892578,163.057373046875,7.265087604522705,1.3484364528781033e-24,1.0712527795324613e-74,1.2371333713057722e-159,3.611288563350645e-19,1.5313671598597084e-71,5.3814297965795506e-157,0.0015689103129413,0.0006995401283325113,0.00011911989240003161
30.0,169.67892456054688,162.27479553222656,7.404135704040527,1.4708276841364622e-24,2.0387931958572667e-74,1.2736406968354416e-164,3.6006074983231805e-19,3.349259787902872e-71,6.0240815008616735e-162,0.0013951103042985221,0.0006087294879964689,9.682027579157233e-05
31.0,169.1653594970703,161.6039276123047,7.561429500579834,1.796183336337432e-24,3.4073943621432243e-74,2.337925992949093e-163,3.51688874614135e-19,6.551032796100167e-71,1.2956140210473053e-160,0.0011932165937339368,0.000520130866108881,8.021329512974493e-05
32.0,168.58827209472656,161.08755493164062,7.500715732574463,2.851269964385603e-24,6.067974398254073e-74,3.4566442822388444e-166,5.480658127624895e-19,1.0979004494662433e-70,1.7486251786524137e-163,0.0012636728301430855,0.0005526889438112658,8.975921380721596e-05
33.0,168.9677734375,161.3377227783203,7.6300578117370605,4.41116291479004e-24,4.15172586184409e-74,2.285637283292926e-166,1.0176399402412667e-18,8.549101297523234e-71,1.1863607331531513e-163,0.0011328778761076333,0.00048563301771226836,8.918299043744017e-05
34.0,167.54022216796875,159.76747131347656,7.7727460861206055,2.940162548454657e-24,1.7306177404335792e-73,8.438205228205482e-164,7.908528933676674e-19,4.110189259380158e-70,5.183882082112694e-161,0.0009901665202373055,0.00042105548703968456,6.040179985698464e-05
35.0,167.08168029785156,159.22694396972656,7.854729652404785,7.217556036488338e-24,2.7374537639399194e-73,4.202040172809058e-168,3.0070821774906552e-18,7.056876177706942e-70,2.574870829156644e-165,0.0009254411436612909,0.0003879129653128488,6.262094190982072e-05
36.0,166.48680114746094,158.62318420410156,7.86362361907959,2.447437129777569e-24,4.9624828652816415e-73,3.987749170763468e-163,9.585668392730168e-19,1.2907056269111343e-69,2.662080700653797e-160,0.0009053897366836647,0.00038447828550633017,6.156931903196792e-05
37.0,167.14498901367188,159.205078125,7.939906120300293,5.823890079729733e-24,2.5695395741430174e-73,6.792153855754036e-167,1.0476034333946187e-18,7.212948408574319e-70,5.7670577608432346e-164,0.000819749360861991,0.0003562398382176861,5.141976108756256e-05
38.0,166.1308135986328,158.16522216796875,7.965590476989746,7.072948050863714e-24,7.084444374035045e-73,2.983158658767655e-168,2.793701592133449e-18,2.040410601586402e-69,2.1821989494685607e-165,0.0008069849358906771,0.0003472068008530722,6.152003207437962e-05
39.0,165.49635314941406,157.3988037109375,8.097555160522461,3.363248042810674e-24,1.3361301063476707e-72,2.0825695222546613e-167,1.0044132949317473e-18,4.3910876558792284e-69,1.6939521923618492e-164,0.0007138135967829693,0.00030428226695924015,4.9177871366679604e-05
40.0,165.40264892578125,157.1748504638672,8.227790832519531,8.629306016248164e-24,1.467390750778167e-72,3.236369664222106e-168,3.927255694430005e-18,5.493256938286055e-69,2.9995080599474966e-165,0.0006557577211028824,0.00026712581757299054,3.7129291987973584e-05
41.0,165.01901245117188,156.70265197753906,8.316356658935547,7.229437169567608e-24,2.153547655680712e-72,1.5176907462231573e-170,2.9074711476805258e-18,8.808496468112496e-69,1.5986866461906868e-167,0.0005969045513883335,0.00024448527208663915,3.3046420228286686e-05
42.0,164.47738647460938,156.2826690673828,8.194724082946777,5.4997787187047565e-24,3.7014202540702566e-72,1.0783878822115053e-162,8.344308886137031e-19,1.3405771513792268e-68,1.0070223376198717e-159,0.0006429762179524741,0.00027610647028126063,4.6343163637163546e-05
43.0,164.19100952148438,155.8975830078125,8.29341983795166,1.1047632965315236e-23,4.928951199259949e-72,6.534681843294562e-151,2.79919266450512e-18,1.970339850868288e-68,6.289991851217215e-148,0.0006036591461967349,0.00025015741305175413,3.881551501790062e-05
44.0,164.00804138183594,155.70614624023438,8.301898002624512,1.285187216989102e-23,5.918421582548698e-72,8.320643733330343e-165,2.6676545384942597e-18,2.3860230603382113e-68,8.190586415378396e-162,0.000573879187469737,0.0002480454477128892,4.193092841197399e-05
45.0,163.7760009765625,155.60862731933594,8.167374610900879,1.0461265794468289e-23,7.464173693526571e-72,1.1943679385255689e-164,1.8207217159510947e-18,2.630434809388671e-68,1.0955241485641538e-161,0.000633404346288018,0.00028376197223687266,5.424436167354911e-05
46.0,163.66473388671875,155.32150268554688,8.34323787689209,6.583091301244137e-24,8.342729588862088e-72,4.793305062998299e-167,1.087473628530339e-18,3.5053427165312776e-68,4.82709361182745e-164,0.0005687274884900221,0.00023800039720845502,3.847530350891107e-05
47.0,163.68914794921875,155.28439331054688,8.404748916625977,1.0438035230670851e-23,8.141498985993959e-72,2.2099662669301822e-154,1.292261143466499e-18,3.637817290232758e-68,2.2735268838150322e-151,0.0005270437136389256,0.00022380175628537412,3.802169051034104e-05
48.0,163.08921813964844,154.6158447265625,8.473376274108887,8.430999766260268e-24,1.4833917460133326e-71,1.9952620355545354e-153,9.807977244803395e-19,7.098989905296855e-68,2.1724188731780932e-150,0.00048195039719058834,0.0002089581427502108,3.7760921861587206e-05
49.0,162.96469116210938,154.3938446044922,8.570852279663086,8.71297050781916e-24,1.680097744102968e-71,2.1163481103155255e-164,1.3197670334162585e-18,8.863563979874613e-68,2.7179102492677025e-161,0.00043857841941188696,0.00018955103702277836,3.149160682854682e-05
50.0,163.17498779296875,154.5406494140625,8.634342193603516,6.361894705719822e-24,1.3614386483561601e-71,3.481286989438967e-170,1.5940046138689814e-18,7.653242658949108e-68,4.686342449711992e-167,0.0004223981018560907,0.00017789043272581963,2.810214157650097e-05
51.0,163.8633575439453,155.29649353027344,8.56686019897461,1.687288854522921e-23,6.839984651406618e-72,2.5983255589806707e-170,2.2389583452201175e-18,3.594143510988935e-68,3.0085120759980403e-167,0.0004456800782443438,0.00019030916908280708,3.511492987911502e-05
52.0,162.28982543945312,153.727294921875,8.56253433227539,7.874929254001923e-24,3.2993098275633285e-71,2.0935787683087702e-165,1.3065952894174651e-18,1.7261737568142327e-67,2.6207463130082636e-162,0.00043825328454201966,0.00019113428266064977,3.492216740980125e-05
53.0,162.11207580566406,153.50987243652344,8.60220718383789,1.0616863142076211e-23,3.941136791826834e-71,1.5592509589645092e-153,2.7256157532172968e-18,2.1454212219318083e-67,2.0453166438207064e-150,0.00041899193943502767,0.00018369990711092552,3.32156240737215e-05
54.0,162.00709533691406,153.39051818847656,8.616582870483398,1.1362865150637753e-23,4.377358114338747e-71,6.131360064809018e-162,9.596836507600908e-19,2.4173894030820938e-67,8.342623027678081e-159,0.00040803961028556125,0.00018107790613948213,3.4102212729234374e-05
55.0,161.8325958251953,153.1333465576172,8.699243545532227,2.0273161568995526e-23,5.2118924979874845e-71,2.143865946597448e-156,1.829184840676982e-18,3.126287180114762e-67,3.1078064797875127e-153,0.0003788320609648946,0.00016671189170139436,2.9118538613362683e-05
56.0,161.57847595214844,152.8105926513672,8.767888069152832,1.7854283748807346e-23,6.7197562462177304e-71,5.953018975866869e-160,1.5857218549130783e-18,4.3171703671188055e-67,8.945899400042612e-157,0.0003505761674288235,0.00015565186626402105,2.8880991687271345e-05
57.0,162.0763702392578,153.2669219970703,8.8094482421875,1.3687479767250782e-23,4.084412627828008e-71,1.3091233307041398e-154,1.758236421312938e-18,2.7354226842760748e-67,2.048683750345689e-151,0.0003316823126869933,0.00014931559394115688,2.8107860963196932e-05
58.0,161.84713745117188,153.13951110839844,8.707620620727539,2.365161484786541e-23,5.136666112997673e-71,1.884572419920824e-162,2.3988035853594686e-18,3.1070830917454396e-67,2.7926383928716677e-159,0.00035674956503818053,0.00016532116976994453,3.273106491238898e-05
