epoch,neg_elbo,recon_loss,kl_div,elbo_decisiveness,elbo_accuracy,elbo_robustness,recon_decisiveness,recon_accuracy,recon_robustness,kl_decisiveness,kl_accuracy,kl_robustness
1.0,445.2859802246094,428.0650634765625,17.22091293334961,5.637375319505695e-129,0.0,0.0,4.004177107208104e-126,0.0,0.0,0.0004507656141047093,3.319346063572666e-08,4.477979986388173e-22
2.0,357.1369323730469,356.12750244140625,1.0094150304794312,4.094078081028362e-77,0.0,0.0,5.213471233163815e-77,0.0,0.0,0.3948426561853802,0.36443206142910967,0.3408224016949817
3.0,308.22344970703125,308.0351867675781,0.18827757239341736,2.2039633833329614e-56,1.381177850999117e-134,6.519966402590345e-273,2.64166050767758e-56,1.66731448281633e-134,8.11832843624073e-273,0.8284877081646257,0.8283847259972915,0.8283156700337774
4.0,264.80487060546875,263.6444091796875,1.1604511737823486,5.829167149990222e-50,9.92452401371678e-116,5.956885897570537e-241,1.4450558762322978e-49,3.167285506594209e-115,2.461632852277051e-240,0.31487198987416326,0.3133447866652419,0.3123125486571079
5.0,231.7469940185547,223.84669494628906,7.900306224822998,6.952005917149494e-71,2.2570866205924373e-101,4.856723933380587e-190,1.2606745058058233e-67,6.08986440879147e-98,1.9753680597525673e-186,0.00039897158238023906,0.0003706300286972005,0.00035238486324524435
6.0,224.16958618164062,221.43797302246094,2.7316195964813232,5.846775259726872e-57,4.4094093565248143e-98,1.072377719917939e-197,1.4047334629448277e-55,6.771856131655868e-97,1.1136647781762178e-196,0.06716276021781833,0.06511374829586984,0.06372945872556653
7.0,222.70130920410156,220.09825134277344,2.603060245513916,7.116234934504758e-60,1.9144698183857835e-97,7.258462232556283e-193,1.9364302286892146e-58,2.5854917489139128e-96,4.7551952988990494e-192,0.0794415795350438,0.07404664196627199,0.07031014021073241
8.0,220.9075927734375,218.1829071044922,2.7246882915496826,1.1793241417413166e-57,1.1509492422395865e-96,2.2950068483589157e-217,5.680741950318682e-56,1.7553884954506577e-95,1.5452647647890445e-216,0.07832468560461059,0.06556663924951303,0.0555513386596027
9.0,218.46112060546875,214.88381958007812,3.577293634414673,3.216432438963767e-55,1.329038102239268e-95,8.015692882232012e-214,7.659973778418684e-53,4.754844243952049e-94,7.643654974465048e-212,0.037552957508538445,0.02795124370119475,0.01836882763056037
10.0,215.2279052734375,211.26194763183594,3.965955972671509,1.64211204392511e-48,3.370587037891796e-94,4.360137564961906e-212,1.855280471747144e-45,1.7786820036885112e-92,6.171138389588182e-211,0.03032958866038947,0.018949913648994496,0.007321217258843579
11.0,213.69668579101562,209.4949188232422,4.201766490936279,2.858242317100127e-46,1.5584936999773365e-93,4.360830747060171e-176,1.2087760224224955e-42,1.041140022300431e-91,4.6066026127805975e-173,0.026078765986689952,0.01496910758011011,0.0040764167358060535
12.0,212.01573181152344,207.52403259277344,4.491696834564209,6.011219889055867e-42,8.370290719844055e-93,3.6265008942835823e-169,1.8799125093575003e-38,7.472394405104313e-91,1.1919459207402301e-167,0.01824037805258119,0.011201617936716885,0.0038805423394157215
13.0,209.5736541748047,204.93638610839844,4.63726282119751,1.1764854587794462e-36,9.623149683328948e-92,3.140323526162489e-170,1.6627259074208886e-33,9.936990098328261e-90,1.5482291227195129e-168,0.015097183387612794,0.009684169540380164,0.0034549072718044844
14.0,207.00314331054688,202.04698181152344,4.9561638832092285,2.5649878507485714e-37,1.2579713379465557e-90,4.5271752470104225e-167,2.47499900316137e-34,1.7869201203050463e-88,2.294676438656729e-164,0.010867411201553798,0.007039885687401666,0.002303730759774362
15.0,205.29531860351562,200.13055419921875,5.16475772857666,1.998604201769771e-37,6.940417914594546e-90,3.9363399029140356e-169,2.8293044953486964e-34,1.2145393013801752e-87,2.239936178733389e-166,0.008700643039466981,0.005714444898331094,0.0020823116069477393
16.0,203.74197387695312,198.39273071289062,5.34923791885376,1.0224267133150158e-35,3.280838645486978e-89,9.680469542367944e-163,3.6403781362727855e-32,6.904454051832333e-87,2.753337339876864e-160,0.006976106416028654,0.0047517712781596265,0.002066362403206497
17.0,201.73252868652344,196.22036743164062,5.512155055999756,1.0406376252437328e-35,2.4472167118493283e-88,6.476492174868517e-162,4.1839785533074583e-32,6.0613721369938254e-86,1.9325753966528118e-159,0.006117158759867513,0.004037397237027296,0.0015468232162245453
18.0,200.46485900878906,194.7846221923828,5.680234432220459,9.363054853437033e-36,8.69400847168595e-88,7.846948699247564e-168,6.331149006511764e-32,2.547502644793327e-85,1.2999692639174873e-165,0.005175808668869212,0.003412757387889304,0.0013510900495844137
19.0,199.5518341064453,193.79531860351562,5.756519317626953,4.537899878107291e-34,2.166393433021404e-87,2.6173535928014767e-170,4.450974261164327e-30,6.85112462109927e-85,6.9635164524549505e-168,0.004811444129173157,0.003162099002475596,0.0013170764460170143
20.0,198.84765625,192.96568298339844,5.881970405578613,9.722767219843195e-34,4.380850344039093e-87,6.83254405407816e-174,1.2400764994337184e-29,1.5706003657975274e-84,9.917903447659233e-172,0.004255067469693377,0.002789283919346721,0.0011804205085039334
21.0,198.5969696044922,192.642822265625,5.954140663146973,6.732082005632307e-33,5.628995217935598e-87,2.7301502639316234e-173,1.0664419389210765e-28,2.169109134671093e-84,7.422326822599461e-171,0.004021899016207482,0.002595072386152277,0.0010887428018962753
22.0,198.47857666015625,192.42164611816406,6.056924819946289,2.1585011812912397e-33,6.336513940015415e-87,9.980659295865712e-179,3.276940313349096e-29,2.706072665715614e-84,2.4810831753926628e-176,0.003724300022412338,0.002341590460705456,0.000906726950322878
23.0,198.19869995117188,192.0303497314453,6.168348789215088,4.3595489214508585e-32,8.382903952731096e-87,1.118594433141764e-181,4.718683217111858e-28,4.001975003660947e-84,2.478460601103806e-179,0.003362164287798964,0.0020946917322228363,0.0007669408062328326
24.0,198.31170654296875,192.08834838867188,6.223360061645508,9.611220076512631e-32,7.487242218032911e-87,3.028466338853431e-187,2.0227799114122153e-27,3.7765292200071575e-84,4.8134534479544004e-185,0.003291306513234579,0.0019825722990218877,0.0007102552040456655
25.0,197.95957946777344,191.5821990966797,6.377384185791016,1.7335036726361021e-31,1.0647410180213957e-86,1.1643307371829603e-192,2.782465880310098e-27,6.264792039261807e-84,1.9576457656667724e-190,0.0029053071930810414,0.0016995632278750993,0.0005431474847140676
26.0,197.513671875,191.11619567871094,6.397472858428955,2.948841899452347e-30,1.66303306784024e-86,1.5841654655395535e-195,5.539282036530117e-26,9.98361978704768e-84,2.135101111285919e-193,0.002859813704915329,0.0016657616208479594,0.0005309587580440644
27.0,197.2618408203125,190.78480529785156,6.477032661437988,4.086926972365599e-30,2.1392939139171043e-86,1.2401161514558254e-200,8.35548885538146e-26,1.3906253743986971e-83,1.623830489857135e-198,0.002650282200523967,0.0015383682430231075,0.0004939695134303413
28.0,196.99269104003906,190.3756561279297,6.617031097412109,1.1392034405609454e-30,2.800040303866084e-86,6.9285966596756385e-202,1.8571578940585915e-26,2.0936521210559452e-83,1.0091553297699411e-199,0.002309546427868417,0.0013373952031982587,0.0003893101125618607
